Sentence|Question
For many tech companies that were initially concerned by Apple’s opposition to opening up the iPhone in the San Bernardino case, the worries centered not only on whether this was the right case for challenging the government but also on how public perceptions of the fight might reflect on the rest of the industry, according to tech executives involved in the discussions, who spoke on the condition of anonymity.|For many tech companies that were initially concerned by Apple’s opposition to opening up the iPhone in __________, the worries centered not only on whether this was the right case for challenging the government but also on how public perceptions of the fight might reflect on the rest of the industry, according to tech executives involved in the discussions, who spoke on the condition of anonymity.
The show of support — including briefs filed on Wednesday by groups like the American Civil Liberties Union and Access Now — is unusual in its breadth, showing that many in Silicon Valley believe that it could have profound implications on the trustworthiness of their products.|The show of support — including briefs filed on __________ by groups like the American Civil Liberties Union and Access Now — is unusual in its breadth, showing that many in Silicon Valley believe that it could have profound implications on the trustworthiness of their products.
A report by Pew Research Center last week said 51 percent of Americans believed that Apple should unlock the iPhone to assist the Federal Bureau of Investigation in the case, while only 38 percent found Apple in the right.|A report by __________ last week said 51 percent of Americans believed that Apple should unlock the iPhone to assist the Federal Bureau of Investigation in the case, while only 38 percent found Apple in the right.
Some of the companies were also concerned that the relationships they had forged with the government might degrade because of Apple’s battle, according to the people involved in the tech industry discussions.|Some of the companies were also concerned that the relationships they had forged with the government might degrade because of __________, according to the people involved in the tech industry discussions.
About 40 companies and organizations are expected to file court briefs on Thursday backing Apple as it fights a judge’s order to help law enforcement break into an iPhone used by a gunman in the San Bernardino, Calif., terrorist attack last year.|About 40 companies and organizations are expected to file court briefs on __________ backing Apple as it fights a judge’s order to help law enforcement break into an iPhone used by a gunman in the San Bernardino, Calif., terrorist attack last year.
In the days since a magistrate judge in California ordered Apple to bypass security measures on the iPhone, lawyers in some of the companies debated these issues with one another and peers at other firms.|In the days since a magistrate judge in __________ ordered Apple to bypass security measures on the iPhone, lawyers in some of the companies debated these issues with one another and peers at other firms.
A report by Pew Research Center last week said 51 percent of Americans believed that Apple should unlock the iPhone to assist the Federal Bureau of Investigation in the case, while only 38 percent found Apple in the right.|A report by Pew Research Center last week said 51 percent of Americans believed that __________ should unlock the iPhone to assist the Federal Bureau of Investigation in the case, while only 38 percent found Apple in the right.
Keith Rabois, a venture capitalist with the firm Khosla Ventures, said he was a strong believer in privacy and encryption — “all the normal Silicon Valley views, ” he said — but worried that Apple could lose the case, setting a legal precedent that could force other companies to compromise the security of their products for law enforcement.|Keith Rabois, a venture capitalist with the firm Khosla Ventures, said he was a strong believer in privacy and encryption — “all the normal Silicon Valley views, ” he said __________ but worried that Apple could lose the case, setting a legal precedent that could force other companies to compromise the security of their products for law enforcement.
Last week in an interview on CBS, Mr. Levchin said his views on the case over the previous several days had shifted from a “clear-cut, black-and-white” stance of helping the F.B.I.|Last week in an interview on CBS, Mr. Levchin said his views on the case over the previous several days had shifted from a “clear-cut, black-and-white” stance of helping __________.
Critics of Apple’s approach believe that the company could have quietly complied with the government’s request to help break into the iPhone and then taken a public stand in a more favorable case.|Critics of __________ believe that the company could have quietly complied with the government’s request to help break into the iPhone and then taken a public stand in a more favorable case.
But Apple has said that once a tool exists for extracting data from the phone, that tool can not be made to disappear.|But __________ has said that once a tool exists for extracting data from the phone, that tool can not be made to disappear.
He has since sided with Apple.|He has since sided with __________.
“Given the years of companies’ reluctance to be at the barricades around intelligence discussions, this is significant, ” said Jules Polonetsky, chief executive of the Future of Privacy Forum, an industry-financed think tank in Washington.|“Given the years of companies’ reluctance to be at the barricades around intelligence discussions, this is significant, ” said Jules Polonetsky, chief executive of the Future of Privacy Forum, an industry-financed think tank in __________.
In the years since the disclosures by Edward J. Snowden, the former intelligence contractor who released a trove of details on United States government surveillance tactics, some tech companies have been trying to educate members of Congress about online privacy practices.|In the years since the disclosures by __________, the former intelligence contractor who released a trove of details on United States government surveillance tactics, some tech companies have been trying to educate members of Congress about online privacy practices.
Last week in an interview on CBS, Mr. Levchin said his views on the case over the previous several days had shifted from a “clear-cut, black-and-white” stance of helping the F.B.I.|Last week in an interview on __________, Mr. Levchin said his views on the case over the previous several days had shifted from a “clear-cut, black-and-white” stance of helping the F.B.I.
Bruce Sewell, Apple’s general counsel, said in a statement, “We are humbled by the outpouring of support we’ve received from our customers, our colleagues in business, nonprofit organizations, the security community and many others.” He added, “The groups filing briefs with the court understand, as more and more people have come to realize, that this case is not about one phone — it is about the future and how we protect our safety and our privacy.”|__________, Apple’s general counsel, said in a statement, “We are humbled by the outpouring of support we’ve received from our customers, our colleagues in business, nonprofit organizations, the security community and many others.” He added, “The groups filing briefs with the court understand, as more and more people have come to realize, that this case is not about one phone — it is about the future and how we protect our safety and our privacy.”
Silicon Valley’s arc in supporting Apple — an initial flurry of concerns followed by an eventual coming around to the idea — is epitomized by Max Levchin, the co-founder of PayPal and chief executive of Affirm, an online financial services firm.|Silicon Valley’s arc in supporting Apple — an initial flurry of concerns followed by an eventual coming around to the idea — is epitomized by Max Levchin, the co-founder of __________ and chief executive of Affirm, an online financial services firm.
In the days since a magistrate judge in California ordered Apple to bypass security measures on the iPhone, lawyers in some of the companies debated these issues with one another and peers at other firms.|In the days since a magistrate judge in California ordered __________ to bypass security measures on the iPhone, lawyers in some of the companies debated these issues with one another and peers at other firms.
“Given the years of companies’ reluctance to be at the barricades around intelligence discussions, this is significant, ” said Jules Polonetsky, chief executive of the Future of Privacy Forum, an industry-financed think tank in Washington.|“Given the years of companies’ reluctance to be at the barricades around intelligence discussions, this is significant, ” said Jules Polonetsky, chief executive of __________ of Privacy Forum, an industry-financed think tank in Washington.
Keith Rabois, a venture capitalist with the firm Khosla Ventures, said he was a strong believer in privacy and encryption — “all the normal Silicon Valley views, ” he said — but worried that Apple could lose the case, setting a legal precedent that could force other companies to compromise the security of their products for law enforcement.|__________, a venture capitalist with the firm Khosla Ventures, said he was a strong believer in privacy and encryption — “all the normal Silicon Valley views, ” he said — but worried that Apple could lose the case, setting a legal precedent that could force other companies to compromise the security of their products for law enforcement.
Silicon Valley’s arc in supporting Apple — an initial flurry of concerns followed by an eventual coming around to the idea — is epitomized by Max Levchin, the co-founder of PayPal and chief executive of Affirm, an online financial services firm.|Silicon Valley’s arc in supporting Apple — an initial flurry of concerns followed by an eventual coming around to the idea — is epitomized by Max Levchin, the co-founder of PayPal and chief executive of __________, an online financial services firm.
Dropbox’s general counsel, Ramsey Homsany, said in a statement, “We stand against the use of broad authorities to undermine the security of a company’s products.”|Dropbox’s general counsel, __________, said in a statement, “We stand against the use of broad authorities to undermine the security of a company’s products.”
The proposed commission, the bill for which was introduced on Monday, would be led by the House Homeland Security Committee chairman Michael McCaul, Republican of Texas, and Senator Mark Warner, Democrat of Virginia.|The proposed commission, the bill for which was introduced on Monday, would be led by the House Homeland Security Committee chairman Michael McCaul, Republican of __________, and Senator Mark Warner, Democrat of Virginia.
The proposed commission, the bill for which was introduced on Monday, would be led by the House Homeland Security Committee chairman Michael McCaul, Republican of Texas, and Senator Mark Warner, Democrat of Virginia.|The proposed commission, the bill for which was introduced on Monday, would be led by the House Homeland Security Committee chairman Michael McCaul, Republican of Texas, and Senator Mark Warner, Democrat of __________.
About 40 companies and organizations are expected to file court briefs on Thursday backing Apple as it fights a judge’s order to help law enforcement break into an iPhone used by a gunman in the San Bernardino, Calif., terrorist attack last year.|About 40 companies and organizations are expected to file court briefs on Thursday backing __________ as it fights a judge’s order to help law enforcement break into an iPhone used by a gunman in the San Bernardino, Calif., terrorist attack last year.
Still, several executives at tech companies supporting Apple said they were worried that Apple had picked a fight that could end up backfiring on the rest of the industry.|Still, several executives at tech companies supporting Apple said they were worried that __________ had picked a fight that could end up backfiring on the rest of the industry.
